,time,dT,inBarrier,flowSat,inSector
0,2022-02-14 00:00:00,0,0,0.0,53
1,2022-02-14 00:00:01,1,1,0.0,54
2,2022-02-14 00:00:02,2,0,1.0,54
3,2022-02-14 00:00:03,3,0,1.0,55
4,2022-02-14 00:00:04,4,1,1.0,54
5,2022-02-14 00:00:05,5,0,2.0,53
6,2022-02-14 00:00:06,6,0,2.0,54
7,2022-02-14 00:00:07,7,1,2.0,57
8,2022-02-14 00:00:08,8,1,3.0,57
9,2022-02-14 00:00:09,9,1,4.0,56
10,2022-02-14 00:00:10,10,0,5.0,55
11,2022-02-14 00:00:11,11,0,5.0,54
12,2022-02-14 00:00:12,12,0,5.0,54
13,2022-02-14 00:00:13,13,0,5.0,53
14,2022-02-14 00:00:14,14,0,5.0,53
15,2022-02-14 00:00:15,15,0,5.0,54
16,2022-02-14 00:00:16,16,0,5.0,54
17,2022-02-14 00:00:17,17,1,5.0,52
18,2022-02-14 00:00:18,18,0,6.0,53
19,2022-02-14 00:00:19,19,0,6.0,54
20,2022-02-14 00:00:20,20,0,6.0,53
21,2022-02-14 00:00:21,21,0,6.0,52
22,2022-02-14 00:00:22,22,1,6.0,52
23,2022-02-14 00:00:23,23,0,7.0,51
24,2022-02-14 00:00:24,24,1,7.0,50
25,2022-02-14 00:00:25,25,1,8.0,51
26,2022-02-14 00:00:26,26,0,9.0,51
27,2022-02-14 00:00:27,27,0,9.0,51
28,2022-02-14 00:00:28,28,0,9.0,52
29,2022-02-14 00:00:29,29,1,9.0,52
30,2022-02-14 00:00:30,30,0,10.0,51
31,2022-02-14 00:00:31,31,0,10.0,50
32,2022-02-14 00:00:32,32,0,10.0,50
33,2022-02-14 00:00:33,33,1,10.0,50
34,2022-02-14 00:00:34,34,0,11.0,50
35,2022-02-14 00:00:35,35,0,11.0,51
36,2022-02-14 00:00:36,36,0,11.0,51
37,2022-02-14 00:00:37,37,0,11.0,51
38,2022-02-14 00:00:38,38,1,11.0,49
39,2022-02-14 00:00:39,39,0,12.0,49
40,2022-02-14 00:00:40,40,0,12.0,49
41,2022-02-14 00:00:41,41,1,12.0,50
42,2022-02-14 00:00:42,42,0,12.0,48
43,2022-02-14 00:00:43,43,1,12.0,48
44,2022-02-14 00:00:44,44,0,13.0,49
45,2022-02-14 00:00:45,45,0,12.0,49
46,2022-02-14 00:00:46,46,0,12.0,49
47,2022-02-14 00:00:47,47,1,12.0,51
48,2022-02-14 00:00:48,48,0,12.0,51
49,2022-02-14 00:00:49,49,2,11.0,53
50,2022-02-14 00:00:50,50,0,12.0,55
51,2022-02-14 00:00:51,51,0,12.0,55
52,2022-02-14 00:00:52,52,0,12.0,54
53,2022-02-14 00:00:53,53,0,12.0,54
54,2022-02-14 00:00:54,54,0,12.0,53
55,2022-02-14 00:00:55,55,0,12.0,53
56,2022-02-14 00:00:56,56,0,12.0,53
57,2022-02-14 00:00:57,57,0,12.0,52
58,2022-02-14 00:00:58,58,0,11.0,52
59,2022-02-14 00:00:59,59,1,11.0,53
60,2022-02-14 00:01:00,60,0,12.0,52
61,2022-02-14 00:01:01,61,0,12.0,52
62,2022-02-14 00:01:02,62,0,12.0,51
63,2022-02-14 00:01:03,63,1,11.0,52
64,2022-02-14 00:01:04,64,0,12.0,53
65,2022-02-14 00:01:05,65,0,11.0,53
66,2022-02-14 00:01:06,66,0,10.0,55
67,2022-02-14 00:01:07,67,1,10.0,56
68,2022-02-14 00:01:08,68,1,11.0,57
69,2022-02-14 00:01:09,69,0,12.0,56
70,2022-02-14 00:01:10,70,0,11.0,55
71,2022-02-14 00:01:11,71,0,11.0,56
72,2022-02-14 00:01:12,72,0,11.0,57
73,2022-02-14 00:01:13,73,0,11.0,56
74,2022-02-14 00:01:14,74,0,10.0,57
75,2022-02-14 00:01:15,75,1,10.0,58
76,2022-02-14 00:01:16,76,1,11.0,58
77,2022-02-14 00:01:17,77,1,12.0,59
78,2022-02-14 00:01:18,78,1,13.0,60
79,2022-02-14 00:01:19,79,0,13.0,59
80,2022-02-14 00:01:20,80,0,13.0,59
81,2022-02-14 00:01:21,81,0,13.0,60
82,2022-02-14 00:01:22,82,2,12.0,61
83,2022-02-14 00:01:23,83,1,14.0,60
84,2022-02-14 00:01:24,84,0,14.0,61
85,2022-02-14 00:01:25,85,0,14.0,61
86,2022-02-14 00:01:26,86,1,14.0,61
87,2022-02-14 00:01:27,87,0,15.0,60
88,2022-02-14 00:01:28,88,1,14.0,61
89,2022-02-14 00:01:29,89,0,15.0,60
90,2022-02-14 00:01:30,90,0,13.0,61
91,2022-02-14 00:01:31,91,0,13.0,61
92,2022-02-14 00:01:32,92,0,13.0,59
93,2022-02-14 00:01:33,93,0,13.0,59
94,2022-02-14 00:01:34,94,0,13.0,60
95,2022-02-14 00:01:35,95,0,13.0,59
96,2022-02-14 00:01:36,96,0,13.0,61
97,2022-02-14 00:01:37,97,0,13.0,60
98,2022-02-14 00:01:38,98,0,13.0,59
99,2022-02-14 00:01:39,99,0,13.0,58
